mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__gamma,param_kpca__kernel,param_kpca__n_components,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
459.55731614430744,2.009865194520882,28.937776803970337,0.5165172030759341,0.01,rbf,200,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 200}",0.4271786410679466,0.43722813859307036,0.43984398439843986,0.4347502546864856,0.0054594054566836706,1
472.2271107832591,17.912524420920395,30.312790632247925,3.0773956684522075,0.001,rbf,200,"{'kpca__gamma': 0.001, 'kpca__kernel': 'rbf', 'kpca__n_components': 200}",0.4295785210739463,0.42987850607469624,0.43294329432943296,0.4308001071593585,0.0015204026187488583,2
457.52911138534546,4.767200400570327,28.491639534632366,0.23393150668099139,,rbf,200,"{'kpca__gamma': None, 'kpca__kernel': 'rbf', 'kpca__n_components': 200}",0.4118794060296985,0.41247937603119844,0.41944194419441944,0.41460024208510543,0.0034323510394651704,3
451.7748562494914,1.5781297442751518,27.771141290664673,0.06286046015632181,0.001,rbf,100,"{'kpca__gamma': 0.001, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.4057297135143243,0.4067796610169492,0.4083408340834083,0.40695006953822727,0.0010727742709649463,4
458.0033926169078,6.271907096224912,27.017085790634155,0.3471984047558711,0.01,rbf,100,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.4024298785060747,0.40362981850907453,0.4054905490549055,0.40385008202335154,0.001259183085419886,5
455.90118447939557,2.4575434286138735,28.00872532526652,0.23199686802836383,,rbf,100,"{'kpca__gamma': None, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.39778011099445026,0.39868006599670014,0.4000900090009001,0.3988500619973501,0.0009506423022455088,6
451.5244927406311,1.8217077442739562,27.55191961924235,0.06569486044099702,0.001,rbf,50,"{'kpca__gamma': 0.001, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.3784310784460777,0.38353082345882705,0.37983798379837985,0.3805999619010949,0.0021505515215913553,7
473.15444684028625,6.333487250150968,28.16544183095296,2.495335583497707,0.01,rbf,50,"{'kpca__gamma': 0.01, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.3751312434378281,0.3805309734513274,0.3730873087308731,0.37624984187334287,0.003140114962076616,8
476.42692653338116,25.49892630935415,24.91258470217387,2.641647931247807,,rbf,50,"{'kpca__gamma': None, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.3722813859307035,0.3766311684415779,0.36873687368736874,0.3725498093532167,0.0032284166157110585,9
462.26807713508606,13.114815682734497,29.093487580617268,1.9986789110264473,0.1,rbf,200,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 200}",0.14174291285435728,0.14369281535923203,0.15181518151815182,0.14575030324391372,0.0043617726752337195,10
456.15347782770795,2.6297816436322883,27.606624046961468,0.21279462139437658,0.1,rbf,50,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 50}",0.1465426728663567,0.14174291285435728,0.1473147314731473,0.14520010573128708,0.002464840165785001,11
463.0758334795634,6.7722198274675804,29.962278763453167,1.2818763083366862,0.1,rbf,100,"{'kpca__gamma': 0.1, 'kpca__kernel': 'rbf', 'kpca__n_components': 100}",0.14519274036298185,0.13889305534723265,0.14086408640864087,0.14164996070628513,0.002631185617826706,12
